review_id,product_id,brand,rating,sentiment,aspect,theme,polarity,review_text
SAF-01-R01,SAF-01,Safari,3,56,handle,lightweight body,positive,The handle felt reliable on a business trip and the lightweight body stood out.
SAF-01-R02,SAF-01,Safari,3,64,size,deal pricing,positive,"I liked the deal pricing, especially because the size did not need extra care."
SAF-01-R03,SAF-01,Safari,2,43,durability,handle wobble,negative,"Useful for short travel, though handle wobble affects confidence in the durability."
SAF-01-R04,SAF-01,Safari,4,74,wheels,deal pricing,positive,"I liked the deal pricing, especially because the wheels did not need extra care."
SAF-01-R05,SAF-01,Safari,2,46,durability,lightweight body,positive,"The product feels practical, with lightweight body and dependable durability."
SAF-01-R06,SAF-01,Safari,3,64,value,deal pricing,positive,"I liked the deal pricing, especially because the value did not need extra care."
SAF-01-R07,SAF-01,Safari,4,73,wheels,lightweight body,positive,Good lightweight body for the price; the suitcase handled train travel well.
SAF-01-R08,SAF-01,Safari,1,20,material,shell scuffs,negative,"Useful for short travel, though shell scuffs affects confidence in the material."
SAF-01-R09,SAF-01,Safari,3,65,handle,deal pricing,positive,"I liked the deal pricing, especially because the handle did not need extra care."
SAF-01-R10,SAF-01,Safari,3,56,size,lightweight body,positive,Good lightweight body for the price; the suitcase handled train travel well.
SAF-01-R11,SAF-01,Safari,3,63,durability,deal pricing,positive,Good deal pricing for the price; the suitcase handled airport travel well.
SAF-01-R12,SAF-01,Safari,3,54,value,lightweight body,positive,"I liked the lightweight body, especially because the value did not need extra care."
SAF-02-R01,SAF-02,Safari,3,59,durability,roomy packing,positive,"I liked the roomy packing, especially because the durability did not need extra care."
SAF-02-R02,SAF-02,Safari,2,50,handle,roomy packing,positive,"The product feels practical, with roomy packing and dependable handle."
SAF-02-R03,SAF-02,Safari,2,38,handle,shell scuffs,negative,"Decent suitcase, but the shell scuffs makes the handle feel less premium."
SAF-02-R04,SAF-02,Safari,2,50,zipper,easy rolling,positive,"I liked the easy rolling, especially because the zipper did not need extra care."
SAF-02-R05,SAF-02,Safari,2,31,durability,shell scuffs,negative,The durability needs improvement; I noticed shell scuffs after weekend use.
SAF-02-R06,SAF-02,Safari,1,25,wheels,handle wobble,negative,"The price is fine, yet handle wobble showed up around the wheels."
SAF-02-R07,SAF-02,Safari,4,75,durability,roomy packing,positive,"I liked the roomy packing, especially because the durability did not need extra care."
SAF-02-R08,SAF-02,Safari,2,33,material,zipper snags,negative,"Decent suitcase, but the zipper snags makes the material feel less premium."
SAF-02-R09,SAF-02,Safari,3,51,size,roomy packing,positive,The size felt reliable on a airport trip and the roomy packing stood out.
SAF-02-R10,SAF-02,Safari,1,29,handle,handle wobble,negative,The handle needs improvement; I noticed handle wobble after train use.
SAF-02-R11,SAF-02,Safari,2,46,wheels,shell scuffs,negative,"Useful for short travel, though shell scuffs affects confidence in the wheels."
SAF-02-R12,SAF-02,Safari,1,15,durability,shell scuffs,negative,"Useful for short travel, though shell scuffs affects confidence in the durability."
SAF-03-R01,SAF-03,Safari,2,31,wheels,handle wobble,negative,"Decent suitcase, but the handle wobble makes the wheels feel less premium."
SAF-03-R02,SAF-03,Safari,2,38,handle,zipper snags,negative,The handle needs improvement; I noticed zipper snags after airport use.
SAF-03-R03,SAF-03,Safari,2,44,handle,shell scuffs,negative,The handle needs improvement; I noticed shell scuffs after airport use.
SAF-03-R04,SAF-03,Safari,2,44,durability,deal pricing,positive,"The product feels practical, with deal pricing and dependable durability."
SAF-03-R05,SAF-03,Safari,3,54,size,easy rolling,positive,"The product feels practical, with easy rolling and dependable size."
SAF-03-R06,SAF-03,Safari,3,64,durability,roomy packing,positive,"The product feels practical, with roomy packing and dependable durability."
SAF-03-R07,SAF-03,Safari,2,41,value,deal pricing,positive,The value felt reliable on a airport trip and the deal pricing stood out.
SAF-03-R08,SAF-03,Safari,2,31,material,easy rolling,positive,The material felt reliable on a train trip and the easy rolling stood out.
SAF-03-R09,SAF-03,Safari,2,47,zipper,easy rolling,positive,Good easy rolling for the price; the suitcase handled train travel well.
SAF-03-R10,SAF-03,Safari,2,33,zipper,shell scuffs,negative,The zipper needs improvement; I noticed shell scuffs after airport use.
SAF-03-R11,SAF-03,Safari,2,50,value,zipper snags,negative,The value needs improvement; I noticed zipper snags after train use.
SAF-03-R12,SAF-03,Safari,2,50,zipper,deal pricing,positive,Good deal pricing for the price; the suitcase handled family travel well.
SAF-04-R01,SAF-04,Safari,3,65,wheels,easy rolling,positive,The wheels felt reliable on a business trip and the easy rolling stood out.
