product_id,brand,title,category,size,price,list_price,discount_pct,rating,review_count,sentiment,positioning,top_pros,top_cons,amazon_url
SAF-01,Safari,Safari Aero 55 cm Cabin hard luggage,Cabin hard luggage,55 cm,4000,7500,47,4.1,3336,70,Value-focused family travel,"['lightweight body', 'deal pricing', 'easy rolling']","['handle wobble', 'shell scuffs', 'zipper snags']",https://www.amazon.in/
SAF-02,Safari,Safari Nova 65 cm Medium check-in,Medium check-in,65 cm,4050,8600,53,4.4,1608,60,Value-focused family travel,"['roomy packing', 'deal pricing', 'easy rolling']","['shell scuffs', 'handle wobble', 'zipper snags']",https://www.amazon.in/
SAF-03,Safari,Safari Cruze 75 cm Large check-in,Large check-in,75 cm,4400,9750,55,3.9,4124,54,Value-focused family travel,"['roomy packing', 'deal pricing', 'easy rolling']","['shell scuffs', 'handle wobble', 'zipper snags']",https://www.amazon.in/
SAF-04,Safari,Safari Flex 78 cm Soft trolley,Soft trolley,78 cm,4350,8050,46,4.2,4115,66,Value-focused family travel,"['easy rolling', 'roomy packing', 'deal pricing']","['handle wobble', 'shell scuffs', 'zipper snags']",https://www.amazon.in/
SAF-05,Safari,Safari Stellar 55 cm Cabin hard luggage,Cabin hard luggage,55 cm,4300,9950,57,4.1,4028,74,Value-focused family travel,"['lightweight body', 'easy rolling', 'roomy packing']","['shell scuffs', 'zipper snags', 'handle wobble']",https://www.amazon.in/
SAF-06,Safari,Safari Prime 65 cm Medium check-in,Medium check-in,65 cm,2750,4550,40,4.3,1735,68,Value-focused family travel,"['deal pricing', 'roomy packing', 'lightweight body']","['shell scuffs', 'zipper snags', 'handle wobble']",https://www.amazon.in/
SAF-07,Safari,Safari Orbit 75 cm Large check-in,Large check-in,75 cm,2950,5250,44,4.2,2223,68,Value-focused family travel,"['deal pricing', 'roomy packing', 'easy rolling']","['handle wobble', 'shell scuffs', 'zipper snags']",https://www.amazon.in/
SAF-08,Safari,Safari Neo 78 cm Soft trolley,Soft trolley,78 cm,3600,7200,50,4.2,3727,62,Value-focused family travel,"['easy rolling', 'roomy packing', 'lightweight body']","['shell scuffs', 'zipper snags', 'handle wobble']",https://www.amazon.in/
SAF-09,Safari,Safari Vector 55 cm Cabin hard luggage,Cabin hard luggage,55 cm,4650,7600,39,4.3,1318,73,Value-focused family travel,"['easy rolling', 'deal pricing', 'roomy packing']","['shell scuffs', 'zipper snags', 'handle wobble']",https://www.amazon.in/
SAF-10,Safari,Safari Edge 65 cm Medium check-in,Medium check-in,65 cm,3600,7050,49,4.2,3849,64,Value-focused family travel,"['easy rolling', 'lightweight body', 'deal pricing']","['shell scuffs', 'handle wobble', 'zipper snags']",https://www.amazon.in/
SKY-01,Skybags,Skybags Aero 55 cm Cabin hard luggage,Cabin hard luggage,55 cm,4650,8450,45,4.1,1345,72,Youthful design at accessible prices,"['stylish colors', 'lightweight body', 'good compartments']","['zipper snags', 'lock feels basic', 'scratches quickly']",https://www.amazon.in/
SKY-02,Skybags,Skybags Nova 65 cm Medium check-in,Medium check-in,65 cm,4550,9450,52,4.0,2401,80,Youthful design at accessible prices,"['smooth wheels', 'stylish colors', 'lightweight body']","['scratches quickly', 'zipper snags', 'lock feels basic']",https://www.amazon.in/
SKY-03,Skybags,Skybags Cruze 75 cm Large check-in,Large check-in,75 cm,4450,8200,46,4.1,1320,75,Youthful design at accessible prices,"['lightweight body', 'good compartments', 'stylish colors']","['lock feels basic', 'zipper snags', 'scratches quickly']",https://www.amazon.in/
SKY-04,Skybags,Skybags Flex 78 cm Soft trolley,Soft trolley,78 cm,4500,10200,56,3.9,3377,71,Youthful design at accessible prices,"['good compartments', 'stylish colors', 'smooth wheels']","['lock feels basic', 'zipper snags', 'scratches quickly']",https://www.amazon.in/
SKY-05,Skybags,Skybags Stellar 55 cm Cabin hard luggage,Cabin hard luggage,55 cm,4850,9150,47,4.0,527,55,Youthful design at accessible prices,"['good compartments', 'stylish colors', 'lightweight body']","['zipper snags', 'lock feels basic', 'scratches quickly']",https://www.amazon.in/
SKY-06,Skybags,Skybags Prime 65 cm Medium check-in,Medium check-in,65 cm,4100,7550,46,4.1,2023,76,Youthful design at accessible prices,"['stylish colors', 'smooth wheels', 'good compartments']","['scratches quickly', 'zipper snags', 'lock feels basic']",https://www.amazon.in/
